Instancia,Distancia,Tiempo,Algoritmo
berlin52,7544.37,N/A,
berlin52,8192.29,0.00244,two_opt_random
berlin52,8060.65,0.00144,two_opt_nn
berlin52,8545.14,0.00567,two_opt_greedy
berlin52,7875.06,0.12431,double_bridge_random
berlin52,7619.15,0.13244,double_bridge_nn
berlin52,7830.66,0.2009,double_bridge_greedy
berlin52,8160.9,0.61319,tabu_search_random
berlin52,7835.71,0.31212,tabu_search_nn
berlin52,8274.37,0.30901,tabu_search_greedy
ch130,6110.86,N/A,
ch130,6347.33,0.01623,two_opt_random
ch130,6741.95,0.01531,two_opt_nn
ch130,6685.54,0.07311,two_opt_greedy
ch130,6172.78,1.78324,double_bridge_random
ch130,6217.98,0.84097,double_bridge_nn
ch130,6203.85,2.03749,double_bridge_greedy
ch130,6553.21,15.63759,tabu_search_random
ch130,6456.14,6.1815,tabu_search_nn
ch130,6706.1,5.28071,tabu_search_greedy
tsp225,3859.0,N/A,
tsp225,4360.89,0.06248,two_opt_random
tsp225,4176.95,0.04638,two_opt_nn
tsp225,4242.66,0.36395,two_opt_greedy
tsp225,4017.71,6.97517,double_bridge_random
tsp225,4014.25,4.31549,double_bridge_nn
tsp225,3970.86,7.49365,double_bridge_greedy
tsp225,4057.71,134.65494,tabu_search_random
tsp225,3965.43,45.16452,tabu_search_nn
tsp225,4151.27,43.55368,tabu_search_greedy
